tempo,breque,cria_jur_1,cria_jur_2,jus_estr,exec_jur_1,exec_jur_3,jus_exec
1,entrada,0.00,0.00,,0.00,0.00,
2,entrada,0.00,0.00,,0.00,0.00,
3,entrada,0.00,0.00,,0.00,0.00,
4,entrada,0.00,0.00,,0.00,0.00,
5,entrada,0.00,0.00,,0.00,0.00,
6,entrada,0.00,0.00,,0.00,0.00,
7,entrada,0.00,0.00,,0.00,0.00,
8,entrada,0.00,0.00,,0.00,0.00,
9,entrada,0.00,0.00,,0.00,0.00,
10,entrada,0.00,0.00,,0.00,0.00,
11,entrada,0.00,0.00,,0.00,0.00,
12,entrada,0.00,0.00,,0.00,0.00,
13,entrada,0.00,1.00,inicio,0.00,0.00,
14,entrada,0.00,0.00,,0.00,0.00,
15,entrada,0.00,0.00,,0.00,0.00,
16,entrada,0.00,0.00,,0.00,0.00,
17,entrada,0.00,0.00,,0.00,0.00,
18,entrada,0.00,0.00,,0.00,0.00,
19,entrada,0.00,0.00,,0.00,0.00,
20,entrada,0.00,0.00,,0.00,0.00,
21,entrada,0.00,0.00,,0.00,0.00,
22,entrada,0.00,0.00,,0.00,0.00,
23,entrada,0.00,0.00,,0.00,0.00,
24,entrada,0.00,0.00,,0.00,0.00,
25,entrada,0.00,0.00,,0.00,0.00,
26,entrada,0.00,0.00,,0.00,0.00,
27,entrada,0.00,0.00,,0.00,0.00,
28,entrada,0.00,0.00,,0.00,0.00,
29,entrada,0.00,0.00,,0.00,0.00,
30,entrada,0.00,1.00,xequere,0.00,0.00,
31,entrada,0.00,0.00,,0.00,0.00,
32,entrada,0.00,0.00,,0.00,0.00,
33,entrada,0.00,0.00,,0.00,0.00,
34,entrada,0.00,0.00,,0.00,0.00,
35,entrada,0.00,0.00,,0.00,0.00,
36,entrada,0.00,0.00,,0.00,0.00,
37,entrada,0.00,0.00,,0.00,0.00,
38,entrada,0.00,0.00,,0.00,0.00,
39,entrada,1.00,0.00,fraseado naipes,0.00,0.00,
40,entrada,0.00,0.00,,0.00,0.00,
41,entrada,0.00,0.00,,0.00,0.00,
42,entrada,0.00,0.00,,0.00,0.00,
43,entrada,0.00,0.00,,0.00,0.00,
44,entrada,0.00,0.00,,0.00,0.00,
45,entrada,0.00,0.00,,0.00,0.00,
46,entrada,0.00,0.00,,0.00,0.00,
47,entrada,0.00,0.00,,0.00,0.00,
48,entrada,0.00,0.00,,0.00,0.00,
49,entrada,0.00,0.00,,0.00,0.00,
50,entrada,0.00,0.00,,0.00,0.00,
51,entrada,0.00,0.00,,0.00,0.00,
52,entrada,0.00,0.00,,0.00,0.00,
53,entrada,0.00,0.00,,0.00,0.00,
54,entrada,0.00,0.00,,0.00,0.00,
55,entrada,0.00,0.00,,0.00,0.00,
56,entrada,0.00,0.00,,0.00,0.00,
57,entrada,0.00,0.00,,0.00,0.00,
58,entrada,0.00,0.00,,0.00,0.00,
59,entrada,0.00,0.00,,0.00,0.00,
60,entrada,0.00,0.00,,0.00,0.00,
61,entrada,0.00,0.00,,0.00,0.00,
62,entrada,0.00,0.00,,0.00,0.00,
63,entrada,0.00,0.00,,0.00,0.00,
64,entrada,0.00,0.00,,0.00,0.00,
65,entrada,0.00,0.00,,0.00,0.00,
66,entrada,0.00,0.00,,0.00,0.00,
67,entrada,0.00,0.00,,0.00,0.00,
